Age,Gender,Occupation,ScreenTime,SocialMedia,Gaming,Streaming,WorkEducation,Unlocks,AppSwitching,Notifications,LateNightUsage,SleepHours,MoodScore,PhysicalActivity,HeartRate,AddictionLevel
46,Other,Self-employed,7.7,2.2,2.1,1.9,0.6,52,30,267,0.6,5.5,5,1.5,69,Low
52,Male,Professional,11.3,2.5,1.0,4.1,2.4,195,49,73,0.8,6.5,3,2.9,71,Moderate
41,Other,Professional,15.0,1.0,3.7,1.3,7.6,116,55,545,0.6,8.1,5,0.9,77,High
28,Female,Student,17.3,5.2,1.1,3.9,5.9,64,32,296,1.6,8.0,5,0.2,84,High
60,Other,Unemployed,17.2,3.8,3.0,2.8,6.0,94,29,445,0.7,5.5,3,0.4,75,High
31,Other,Self-employed,5.8,1.0,1.0,0.9,1.1,170,43,515,1.2,4.3,9,1.1,73,Moderate
59,Male,Professional,19.4,4.9,3.5,4.9,4.6,126,7,595,0.5,5.9,10,2.3,81,High
36,Female,Professional,13.1,2.9,2.6,3.8,3.1,134,15,264,0.7,4.6,2,1.8,85,High
33,Male,Self-employed,16.2,4.7,2.6,1.7,5.9,62,34,445,3.7,6.2,1,2.3,86,High
24,Other,Student,6.9,0.6,0.4,3.1,1.3,44,57,321,0.1,8.1,8,2.8,67,Low
30,Male,Unemployed,10.1,0.7,1.7,4.5,2.3,34,37,68,2.1,5.6,3,0.4,83,Low
60,Male,Self-employed,16.4,1.4,2.1,4.7,7.2,29,38,278,1.7,8.1,2,1.6,87,Moderate
47,Male,Unemployed,9.4,1.7,1.2,3.8,1.4,167,45,174,1.1,8.8,10,1.9,72,Low
23,Male,Student,18.6,4.7,3.5,3.8,5.1,35,7,282,3.2,7.4,1,1.3,81,High
52,Other,Student,13.8,4.4,3.4,1.7,2.5,118,9,254,0.9,8.2,7,1.4,83,High
30,Other,Self-employed,13.1,3.9,2.0,5.0,0.7,144,35,309,3.6,8.2,7,0.3,89,High
23,Female,Professional,10.8,5.4,1.4,1.6,1.8,117,8,452,2.7,4.1,4,0.2,75,High
20,Male,Student,13.9,1.9,3.2,0.9,7.0,232,12,537,2.7,7.3,5,0.1,82,High
18,Male,Student,19.2,5.5,0.8,4.9,7.3,76,21,222,3.9,7.9,10,2.0,83,High
39,Female,Self-employed,12.0,5.5,0.3,1.2,3.4,65,26,210,3.5,6.2,1,0.3,81,High
25,Male,Self-employed,11.8,2.9,0.2,2.8,5.0,130,42,322,1.9,8.2,3,1.1,74,Moderate
42,Female,Self-employed,8.6,1.0,0.2,2.6,4.2,143,28,309,2.3,7.3,1,2.8,87,Low
63,Other,Student,13.7,4.5,2.0,4.3,2.2,148,35,271,3.1,7.4,9,0.5,84,High
30,Female,Unemployed,9.1,2.4,1.0,2.3,2.8,44,53,165,0.8,6.0,10,1.4,79,Low
58,Male,Student,15.5,4.9,2.8,2.8,4.2,75,56,214,2.6,8.4,1,2.2,78,High
27,Female,Self-employed,11.9,1.4,2.6,0.7,5.6,65,53,435,1.1,5.9,7,0.7,75,Moderate
64,Other,Professional,10.7,3.5,2.2,1.4,2.8,206,50,394,0.3,4.7,5,0.1,78,High
16,Male,Professional,15.5,3.3,1.4,4.2,5.6,209,29,346,3.9,5.6,4,2.3,88,High
46,Other,Self-employed,16.6,1.1,3.4,2.7,7.7,225,42,446,2.8,6.0,4,2.2,91,High
23,Other,Professional,8.2,2.5,2.8,1.5,0.2,208,59,201,2.8,7.8,4,2.9,81,High
36,Female,Student,6.8,1.0,1.1,2.2,1.3,230,36,148,1.8,4.4,9,1.8,71,Moderate
63,Other,Unemployed,14.7,3.1,2.0,1.8,7.3,27,53,495,0.8,7.3,6,0.9,87,Moderate
32,Male,Student,10.0,5.1,0.6,3.0,0.6,60,30,114,3.5,6.6,10,0.4,75,Moderate
47,Other,Self-employed,11.8,2.0,1.3,0.7,6.1,162,40,464,2.5,5.6,10,0.3,84,High
64,Other,Student,16.2,4.7,4.0,1.5,5.0,63,31,195,1.0,6.0,6,1.9,73,High
34,Female,Professional,5.6,1.5,0.9,2.1,0.4,101,27,559,0.7,7.5,1,1.0,79,Low
27,Other,Student,12.8,4.2,2.8,4.7,0.0,148,24,73,3.0,7.0,7,2.5,76,High
50,Female,Unemployed,14.4,5.5,1.0,3.3,4.0,130,50,264,0.7,4.4,8,0.4,85,High
56,Female,Professional,11.3,2.3,3.8,2.8,0.9,244,31,419,0.9,4.5,2,2.9,82,High
64,Male,Unemployed,15.6,5.5,1.2,1.4,7.0,212,57,581,0.4,7.5,4,0.2,83,High
53,Male,Unemployed,12.1,3.3,1.4,3.0,3.8,136,21,399,3.0,8.4,5,2.3,84,High
50,Male,Unemployed,12.3,2.2,2.4,4.7,1.9,181,18,560,2.5,4.8,7,2.3,84,High
25,Male,Student,13.6,5.4,2.4,3.0,1.3,151,7,101,1.7,7.0,3,1.8,77,High
42,Female,Student,12.6,0.7,2.3,1.2,6.7,100,44,254,0.7,5.0,8,3.0,79,Moderate
16,Other,Student,14.3,0.7,2.3,5.0,5.7,149,31,170,2.2,8.9,2,0.0,86,High
46,Male,Student,14.5,3.8,1.2,2.7,5.7,186,49,111,2.6,7.1,9,1.4,80,High
34,Male,Professional,10.1,4.9,1.7,1.9,0.7,201,18,60,1.0,8.1,5,0.3,73,High
40,Male,Student,16.4,4.6,2.4,2.8,5.0,157,32,298,1.3,5.4,4,1.5,73,High
54,Other,Professional,13.3,0.9,2.7,1.7,7.0,61,48,279,0.9,5.7,5,0.6,86,Moderate
22,Male,Unemployed,14.9,5.7,1.0,0.6,6.1,64,29,138,1.4,4.7,10,1.3,80,High
29,Other,Professional,13.9,4.4,2.8,4.5,0.9,120,44,552,1.0,7.4,4,0.1,85,High
58,Female,Self-employed,20.8,5.7,3.7,2.4,7.6,173,15,222,1.9,8.9,6,1.4,79,High
23,Female,Student,10.8,2.3,3.0,3.9,0.6,46,56,490,3.8,6.5,10,2.0,83,High
20,Female,Self-employed,14.8,4.3,0.3,4.9,4.5,186,16,409,1.1,4.5,5,2.6,79,High
21,Other,Professional,18.6,5.2,1.9,3.3,7.6,172,37,412,1.7,4.1,4,2.8,81,High
55,Male,Student,15.3,2.6,1.7,3.6,6.6,48,24,598,1.5,7.5,5,1.1,76,Moderate
28,Male,Self-employed,18.1,5.8,1.3,4.7,5.4,129,58,274,0.8,4.9,2,2.4,78,High
49,Male,Student,15.5,2.0,2.0,2.8,6.9,229,38,440,3.9,8.7,10,2.6,79,High
18,Male,Professional,13.2,2.2,1.8,1.9,5.4,41,27,515,2.1,7.7,2,2.9,86,Moderate
57,Male,Self-employed,11.6,5.6,0.0,4.6,0.4,134,23,413,2.4,4.9,9,1.3,80,High
24,Other,Professional,11.1,5.8,0.9,0.8,2.8,109,40,217,0.7,8.5,5,2.5,73,Moderate
51,Female,Self-employed,8.7,2.1,0.9,1.5,3.4,207,48,468,3.2,5.1,8,0.8,87,High
53,Male,Unemployed,10.7,1.3,1.4,2.0,4.4,109,5,423,3.5,8.8,9,2.3,78,Low
20,Female,Unemployed,13.0,4.7,0.7,4.0,1.8,199,14,575,2.0,5.4,1,2.4,78,High
61,Other,Unemployed,18.8,5.6,0.3,4.6,7.0,104,5,271,1.3,4.6,3,2.6,81,High
38,Other,Unemployed,10.3,3.8,0.8,2.5,1.8,168,9,186,1.0,6.9,10,2.4,83,High
13,Male,Unemployed,15.6,4.0,3.4,1.8,5.3,125,26,118,0.4,7.0,10,2.4,82,High
16,Other,Professional,17.8,4.7,3.2,2.1,7.0,155,47,238,1.7,7.1,8,2.0,82,High
40,Female,Unemployed,13.0,1.3,1.8,3.5,5.9,136,6,99,2.3,5.4,2,0.3,77,High
48,Male,Professional,13.1,5.9,3.5,1.2,1.1,85,13,205,1.9,5.9,10,1.1,74,High
49,Male,Unemployed,15.7,2.5,0.9,3.0,7.6,245,48,546,2.1,9.0,8,0.7,92,High
30,Female,Student,11.8,4.0,2.3,3.1,0.7,223,11,245,3.6,6.0,10,1.3,79,High
19,Male,Unemployed,10.8,3.1,0.6,3.7,1.6,132,52,525,1.1,4.5,1,2.7,73,High
59,Male,Student,12.5,3.1,3.3,3.2,1.1,37,25,278,2.3,6.1,6,1.8,88,Moderate
56,Female,Professional,12.1,4.4,0.5,0.9,5.3,100,11,457,0.6,5.0,6,0.3,72,Moderate
12,Male,Unemployed,16.8,6.0,0.1,3.6,6.5,162,13,540,2.5,4.7,9,0.9,82,High
33,Male,Self-employed,8.9,4.1,1.1,0.6,1.9,22,44,268,0.4,5.9,5,2.6,68,Low
63,Female,Professional,19.6,4.9,3.6,2.3,7.8,104,13,562,0.6,5.7,8,1.1,78,High
28,Other,Unemployed,6.3,0.7,0.5,2.4,1.1,102,55,70,0.6,4.6,10,0.0,65,Low
18,Female,Professional,10.4,5.0,1.3,1.0,2.5,78,53,473,2.5,4.1,7,2.3,86,High
36,Male,Self-employed,9.8,2.1,1.3,0.5,3.9,202,16,157,2.7,7.2,7,0.4,82,High
56,Female,Unemployed,13.6,1.2,3.2,0.8,6.5,141,48,384,0.0,5.2,1,0.4,77,High
15,Male,Self-employed,9.0,1.1,1.7,2.5,3.0,179,40,399,3.3,8.3,8,1.9,86,High
47,Male,Unemployed,10.9,4.2,2.4,1.6,1.4,30,13,357,3.2,5.5,6,1.7,83,High
17,Female,Student,14.0,6.0,1.6,0.8,3.7,229,14,306,0.9,6.7,2,1.1,80,High
42,Male,Professional,12.6,4.2,2.2,1.7,3.8,200,53,486,0.4,5.1,3,0.6,74,High
30,Other,Self-employed,6.7,1.9,0.2,2.9,0.1,176,14,466,2.3,4.9,7,0.3,85,Moderate
55,Male,Professional,8.7,1.6,1.5,3.8,0.2,86,48,60,3.5,8.7,9,0.4,74,Low
50,Female,Self-employed,12.2,3.4,3.4,2.4,2.2,151,21,392,1.4,7.4,5,2.2,86,High
38,Other,Professional,13.3,0.9,2.8,3.3,5.9,239,42,474,3.9,8.7,2,2.7,91,High
21,Other,Professional,14.2,2.7,3.9,3.2,2.9,156,8,394,3.9,5.0,10,1.7,93,High
37,Male,Professional,15.0,4.2,3.2,4.5,1.7,76,20,281,0.1,7.7,1,1.9,79,High
30,Female,Student,11.3,5.8,1.8,1.3,0.9,185,53,354,2.6,5.1,2,2.9,83,High
50,Male,Unemployed,11.2,2.8,2.7,2.6,2.2,26,52,237,1.4,7.7,6,0.0,70,Low
14,Male,Student,13.3,1.6,3.1,3.3,3.9,212,40,529,0.6,8.2,9,0.5,86,High
56,Female,Professional,11.0,5.0,1.1,2.8,0.7,182,31,479,3.0,5.1,2,1.4,88,High
24,Female,Self-employed,8.7,4.6,0.2,2.5,0.1,194,10,517,2.9,5.8,7,0.3,83,High
61,Male,Professional,14.4,5.2,1.6,4.9,1.0,53,44,65,0.2,7.0,5,0.8,78,Moderate
39,Other,Unemployed,14.0,1.7,0.6,4.7,5.9,82,13,585,0.6,8.6,2,1.2,73,Low
31,Male,Student,11.8,2.7,1.1,3.3,3.7,28,36,57,0.3,4.1,6,2.1,77,Moderate
39,Other,Unemployed,17.0,5.9,3.8,2.5,3.6,109,42,544,2.4,6.8,4,0.4,79,High
19,Male,Self-employed,10.7,1.4,3.4,3.9,0.2,219,34,373,1.1,4.7,4,1.8,71,High
52,Female,Unemployed,16.1,4.2,2.4,2.8,5.7,38,18,358,2.2,6.1,5,0.2,81,High
50,Other,Student,11.2,1.8,1.6,5.0,1.6,173,49,544,2.7,6.7,1,1.3,83,High
12,Female,Self-employed,9.5,3.3,1.1,3.6,0.7,193,54,498,1.4,7.9,5,0.3,84,High
14,Female,Unemployed,16.3,4.9,2.3,0.8,6.7,75,33,528,1.4,9.0,2,1.5,81,High
24,Female,Student,12.6,3.2,2.1,2.3,3.9,29,32,263,3.0,6.8,8,1.2,88,High
39,Female,Student,19.4,4.9,3.1,3.8,6.0,139,26,184,1.4,6.2,9,1.1,79,High
60,Female,Professional,18.1,2.8,3.7,4.3,6.6,190,35,460,1.4,6.5,9,2.4,87,High
36,Male,Unemployed,20.1,6.0,1.3,4.2,7.7,177,21,469,2.4,7.0,10,1.5,85,High
44,Other,Self-employed,14.4,2.9,0.8,4.9,5.0,59,21,361,0.3,4.4,6,0.8,83,Moderate
49,Male,Professional,7.8,1.3,1.6,2.7,0.5,247,53,319,1.4,4.4,9,2.4,80,High
64,Male,Unemployed,10.7,2.7,1.8,1.1,4.5,202,58,434,0.5,5.7,10,1.6,81,High
17,Male,Unemployed,13.1,4.6,0.2,3.4,4.1,205,19,68,3.5,4.3,7,2.9,82,High
55,Female,Self-employed,11.2,5.2,3.4,0.8,0.5,50,51,372,1.3,6.5,3,1.5,75,Moderate
56,Male,Professional,15.0,3.0,4.0,4.9,2.5,219,36,547,1.9,5.3,7,2.5,85,High
43,Other,Professional,15.2,3.8,3.7,3.9,3.3,66,32,242,0.3,4.3,7,0.0,82,High
56,Male,Self-employed,16.3,5.1,3.4,4.9,1.3,224,15,312,2.0,4.3,3,0.8,90,High
58,Female,Professional,12.6,5.0,4.0,2.2,0.1,56,43,378,2.6,6.0,4,0.1,86,High
32,Other,Student,14.9,4.1,3.6,0.6,6.1,241,21,422,0.2,5.7,5,1.6,73,High
27,Other,Self-employed,18.0,5.0,2.8,2.8,6.8,204,16,161,1.3,8.1,7,1.4,88,High
32,Other,Unemployed,8.0,3.7,0.7,1.0,1.8,98,55,273,2.2,4.7,5,2.3,72,Moderate
22,Other,Self-employed,6.6,0.5,0.6,3.6,0.0,204,55,413,4.0,4.1,8,0.3,90,High
48,Male,Student,12.3,0.7,0.2,2.7,7.1,118,43,401,3.1,4.3,10,2.5,78,Moderate
47,Female,Self-employed,14.2,5.9,1.6,3.9,1.1,150,56,129,2.3,5.7,2,0.2,74,High
46,Other,Unemployed,11.2,1.3,3.2,1.8,3.2,176,13,225,0.8,7.0,5,2.5,76,Moderate
30,Other,Unemployed,13.8,2.7,2.0,4.2,2.9,235,29,215,3.9,6.5,7,1.7,81,High
31,Female,Self-employed,13.8,5.6,1.5,3.4,1.3,64,30,473,0.8,6.8,9,0.3,75,High
29,Male,Self-employed,12.3,1.6,0.4,4.9,4.8,106,8,462,0.6,7.1,2,0.1,75,Low
58,Other,Student,14.5,5.1,0.2,1.3,7.3,92,23,518,1.7,5.5,8,2.4,88,High
52,Male,Student,12.7,5.0,1.6,0.7,4.1,21,17,283,3.0,8.5,10,1.0,80,Moderate
60,Male,Unemployed,19.3,5.9,0.4,4.3,7.8,162,33,129,0.4,4.0,1,2.8,85,High
25,Male,Professional,7.3,2.0,0.4,2.0,1.5,243,58,510,0.7,4.9,6,3.0,75,High
26,Male,Professional,13.7,2.2,1.6,2.4,6.8,165,51,560,2.5,7.2,1,2.4,82,High
42,Other,Professional,16.1,5.5,2.0,4.7,2.1,176,13,406,0.1,8.9,6,2.3,82,High
12,Other,Professional,8.7,1.8,0.7,2.5,2.0,59,46,195,2.6,4.8,10,2.1,72,Moderate
64,Male,Unemployed,10.4,3.5,2.7,1.8,0.9,22,44,233,0.3,7.5,2,0.6,73,Low
14,Male,Professional,14.9,4.4,1.7,0.8,6.9,244,11,489,1.5,5.2,3,0.5,83,High
27,Female,Professional,11.9,2.0,0.4,2.5,5.8,77,11,277,1.7,5.0,3,1.2,79,Moderate
34,Female,Self-employed,15.8,5.7,2.5,3.4,2.7,90,25,466,2.6,5.5,10,2.8,89,High
22,Female,Professional,11.4,4.2,1.4,1.7,2.8,113,13,125,1.3,4.8,6,0.1,74,High
23,Other,Self-employed,12.7,0.8,0.2,3.7,6.8,238,54,261,0.4,6.6,10,2.5,79,High
21,Female,Unemployed,16.6,1.2,3.8,2.7,7.4,185,49,428,0.6,8.7,4,1.2,85,High
43,Other,Self-employed,14.7,1.5,2.3,4.4,4.8,176,31,215,1.8,8.6,8,0.1,78,High
27,Other,Student,9.7,1.8,1.9,1.2,3.3,178,52,141,2.3,6.7,6,0.5,81,High
19,Other,Self-employed,13.4,4.5,3.4,3.9,0.4,145,25,477,3.7,7.7,4,2.9,91,High
49,Other,Professional,11.6,1.0,3.7,4.7,1.0,212,9,245,2.2,5.0,1,2.4,85,High
23,Female,Self-employed,8.9,2.4,0.9,3.8,1.1,124,9,300,2.8,6.8,10,2.5,80,Moderate
35,Male,Self-employed,14.4,5.5,3.2,2.3,2.2,62,12,463,0.8,7.9,6,1.6,82,High
39,Male,Unemployed,12.2,3.6,3.3,1.5,2.1,174,19,367,4.0,5.6,10,0.1,88,High
64,Male,Unemployed,8.1,2.0,0.2,0.9,4.3,174,17,594,0.6,5.0,8,2.5,76,Low
19,Female,Professional,20.3,5.8,2.8,3.4,7.6,137,37,168,2.3,5.5,9,1.4,89,High
39,Male,Student,11.9,1.8,0.3,1.1,6.9,240,48,532,3.8,5.4,8,2.1,78,High
47,Female,Student,17.6,5.5,2.4,4.3,4.1,88,51,212,1.9,5.4,9,2.2,87,High
37,Female,Self-employed,13.6,4.5,2.7,4.8,0.1,22,36,151,3.6,4.3,9,0.1,78,High
19,Female,Student,8.7,4.6,1.5,1.1,0.5,176,40,422,2.3,6.5,7,0.7,75,High
61,Male,Unemployed,18.5,4.7,3.5,2.2,6.9,122,53,339,3.4,4.8,6,2.5,88,High
39,Male,Professional,15.1,3.3,3.2,4.7,2.3,160,57,132,2.9,8.5,3,1.5,82,High
39,Male,Professional,15.7,5.0,3.7,2.6,2.5,116,27,494,2.4,8.0,10,0.1,87,High
48,Other,Unemployed,12.3,5.1,1.3,2.9,1.1,79,38,133,0.5,8.6,3,2.9,72,Moderate
52,Female,Professional,10.0,2.5,0.1,3.9,1.8,103,22,523,1.2,8.4,6,1.9,76,Low
47,Other,Self-employed,10.0,2.7,3.2,1.4,2.0,86,16,111,0.5,5.8,9,1.2,77,Moderate
38,Female,Professional,15.5,5.4,0.9,4.9,3.3,217,27,144,2.2,7.9,6,2.7,83,High
28,Male,Student,15.9,3.4,1.9,4.0,5.0,126,6,315,1.8,6.5,8,0.4,88,High
20,Female,Professional,13.7,5.3,3.3,1.2,2.8,100,48,483,1.7,5.3,8,2.9,79,High
44,Female,Professional,10.6,3.9,0.9,1.0,3.6,142,31,168,1.1,5.8,5,0.8,76,Moderate
64,Other,Unemployed,12.9,3.8,1.2,4.7,1.5,66,54,377,3.3,6.9,5,1.7,84,Moderate
31,Female,Unemployed,8.2,0.7,1.8,3.6,0.5,215,35,362,1.7,8.2,3,2.5,76,Moderate
24,Male,Student,8.3,2.0,1.1,0.7,2.8,116,52,288,1.1,4.1,1,0.8,70,Moderate
39,Female,Unemployed,7.8,3.3,1.8,1.1,0.5,180,26,222,1.1,6.2,5,0.9,72,Moderate
59,Female,Student,7.7,3.7,0.0,0.7,2.4,25,9,196,1.2,4.0,10,1.8,75,Low
40,Female,Self-employed,17.4,4.0,0.8,4.9,6.7,137,21,529,3.3,5.4,9,0.2,94,High
24,Other,Student,15.0,4.4,3.3,2.7,2.9,211,47,403,1.5,6.0,10,2.3,86,High
57,Female,Professional,10.9,4.1,1.7,2.6,1.5,97,11,367,1.0,6.3,9,0.9,80,Moderate
46,Female,Student,20.3,5.2,2.5,4.8,7.2,218,22,98,3.6,7.7,10,2.9,83,High
17,Other,Self-employed,12.6,2.1,0.9,2.8,5.1,89,6,448,3.6,7.7,9,0.9,86,High
29,Other,Professional,18.0,4.0,2.6,2.8,7.9,198,35,405,2.7,5.6,1,2.8,80,High
62,Other,Student,14.1,0.8,4.0,4.9,2.4,86,32,145,3.3,5.8,8,0.3,78,High
16,Other,Unemployed,9.9,3.1,2.4,1.0,1.6,120,7,191,3.3,5.3,8,1.2,86,High
58,Male,Unemployed,13.7,2.0,2.5,4.9,2.4,169,13,527,2.8,6.0,10,1.9,82,High
36,Male,Unemployed,12.5,2.6,0.4,1.2,6.5,249,37,492,1.9,5.7,7,0.8,75,High
13,Female,Student,8.6,2.5,1.6,2.6,1.2,219,32,127,3.8,7.3,9,2.2,74,High
21,Male,Student,9.4,0.8,3.4,2.0,1.9,43,32,589,1.3,4.7,1,3.0,84,Moderate
41,Female,Self-employed,18.7,3.1,3.3,4.8,5.6,224,22,531,3.2,4.1,2,2.8,83,High
61,Male,Professional,17.3,6.0,2.1,2.7,5.9,224,19,186,0.9,4.1,9,2.9,83,High
56,Other,Professional,15.0,2.1,3.6,0.6,7.7,84,15,325,2.6,8.8,8,0.2,77,Moderate
16,Other,Professional,15.7,4.5,0.6,1.5,7.8,200,29,339,3.3,5.2,10,1.8,77,High
44,Male,Professional,15.1,3.5,2.6,2.4,5.3,147,9,118,2.9,7.7,4,2.6,78,High
12,Male,Student,11.6,2.3,1.0,3.5,2.9,188,45,170,2.8,7.6,4,2.6,85,High
29,Female,Student,11.3,1.0,2.6,3.0,3.6,119,50,210,1.9,8.2,6,1.5,71,Moderate
43,Female,Self-employed,10.7,1.7,0.3,4.3,3.5,51,31,205,3.6,5.9,5,0.0,82,Low
58,Female,Professional,17.1,4.8,3.8,4.2,3.1,88,16,230,1.3,7.2,8,2.3,76,High
60,Other,Student,12.1,2.0,3.1,3.2,2.7,90,14,288,3.6,5.8,7,2.8,87,High
22,Other,Student,7.9,1.3,0.8,3.1,1.3,64,13,76,0.1,5.2,10,0.0,70,Low
32,Other,Student,11.5,2.3,2.5,1.8,2.9,51,57,227,2.4,8.9,8,0.1,83,Moderate
37,Other,Student,20.6,3.7,3.0,4.8,7.8,47,6,81,2.5,8.5,2,2.3,91,High
36,Female,Professional,14.3,4.4,0.8,0.8,7.1,116,13,72,1.1,6.3,6,2.3,76,High
33,Other,Professional,11.6,2.6,0.4,2.3,4.9,33,51,222,3.0,7.0,7,0.6,84,Low
38,Other,Student,11.6,3.2,1.4,3.5,1.5,160,55,579,0.8,8.8,10,2.2,81,Moderate
60,Other,Unemployed,16.8,3.0,0.5,4.8,7.0,240,20,455,1.7,5.7,1,2.6,76,High
24,Other,Self-employed,8.7,0.5,2.3,2.8,2.5,197,5,77,3.6,8.2,2,0.8,74,Moderate
44,Male,Professional,15.1,2.7,1.7,4.5,4.4,187,25,320,1.6,6.0,10,1.3,73,High
45,Female,Professional,15.2,3.7,1.8,1.0,7.3,148,54,325,3.3,8.4,7,1.5,90,High
52,Female,Unemployed,12.1,3.6,2.2,2.9,2.7,194,41,465,0.4,6.4,6,1.2,74,High
46,Other,Professional,18.6,4.6,3.9,1.9,7.3,132,43,520,0.5,6.7,4,1.0,86,High
12,Male,Unemployed,14.0,4.2,3.2,4.1,1.9,132,5,505,0.7,7.8,4,3.0,79,High
32,Female,Unemployed,16.4,2.0,2.5,2.5,7.4,238,53,358,0.7,8.4,3,1.7,78,High
59,Female,Student,9.5,1.9,1.5,2.6,2.9,49,51,476,3.9,5.3,5,2.1,92,Moderate
17,Other,Professional,8.6,3.1,0.1,0.8,3.0,53,44,149,0.4,7.8,5,0.3,69,Low
39,Other,Self-employed,12.9,4.5,0.5,2.5,4.4,65,18,136,0.6,8.7,9,1.5,72,Moderate
28,Female,Unemployed,8.2,1.0,2.9,0.9,2.8,20,44,327,0.7,4.1,10,2.7,81,Low
16,Female,Self-employed,13.8,5.7,1.5,1.8,3.6,181,52,147,2.4,4.8,9,2.1,79,High
42,Male,Student,10.4,3.5,1.3,1.1,4.0,206,48,513,2.0,5.8,7,0.8,85,High
16,Female,Professional,13.4,2.2,3.6,2.0,3.9,154,36,157,2.9,7.9,8,2.5,83,High
49,Female,Student,16.8,4.3,1.9,1.5,7.7,212,28,91,1.4,6.9,1,0.2,83,High
14,Other,Student,9.6,0.7,3.6,1.8,2.3,189,43,528,0.2,8.6,8,3.0,84,High
64,Female,Self-employed,11.9,3.2,3.5,1.2,2.3,229,41,545,1.4,6.3,5,2.3,81,High
34,Other,Self-employed,14.0,3.2,0.3,2.5,6.7,246,37,265,3.1,6.5,9,2.9,76,High
48,Female,Unemployed,12.4,1.4,3.8,2.7,3.1,38,34,530,3.3,6.8,1,2.6,91,Moderate
64,Female,Professional,12.0,5.1,0.3,4.3,0.6,160,30,238,2.9,8.5,1,2.3,84,High
48,Female,Student,17.1,4.9,3.9,2.9,3.9,42,47,163,1.6,4.3,1,1.3,75,High
21,Male,Unemployed,10.6,1.3,1.8,1.5,4.4,85,59,372,2.4,6.6,6,2.4,82,Moderate
21,Other,Unemployed,15.9,2.5,3.0,3.8,4.9,150,48,482,0.6,5.9,5,0.2,78,High
30,Male,Student,8.5,1.1,2.8,1.8,1.9,105,18,201,1.0,5.5,1,0.7,68,Low
28,Female,Student,19.6,5.2,2.1,3.9,7.8,183,16,95,1.0,7.6,4,2.7,83,High
32,Male,Unemployed,14.3,2.3,2.5,2.2,5.9,196,48,550,0.3,5.7,9,2.1,85,High
25,Other,Student,16.1,2.9,3.8,2.8,5.8,219,7,362,3.8,4.1,7,0.6,84,High
20,Female,Student,16.3,2.3,3.7,2.8,7.0,106,11,121,1.7,5.1,5,1.2,72,High
57,Male,Self-employed,10.7,2.2,2.6,4.8,0.2,91,25,541,3.5,5.5,4,2.1,85,High
12,Male,Professional,14.9,4.6,2.6,1.2,4.9,204,31,560,0.9,4.9,1,2.4,86,High
62,Other,Unemployed,18.4,4.6,1.0,4.7,6.5,108,14,183,3.1,7.8,7,2.5,89,High
56,Male,Student,11.8,3.3,3.3,3.0,0.3,246,14,110,3.2,7.0,2,0.4,76,High
24,Other,Unemployed,19.2,4.1,2.5,5.0,6.0,211,40,395,0.0,7.5,2,0.0,86,High
15,Female,Professional,18.8,3.3,3.3,3.1,7.9,130,21,501,0.1,6.7,6,0.4,89,High
12,Female,Unemployed,12.4,0.7,2.6,3.5,4.7,158,46,79,3.7,7.4,7,1.5,81,High
60,Male,Unemployed,11.0,0.9,1.2,3.9,3.4,60,38,97,2.3,7.6,9,2.8,72,Low
51,Female,Unemployed,12.3,2.6,0.8,4.2,3.6,25,22,293,1.1,7.8,3,0.6,76,Low
43,Female,Self-employed,14.7,4.6,0.3,2.6,5.4,125,30,369,0.7,7.9,4,2.3,87,High
45,Male,Professional,17.8,5.5,2.3,3.6,4.6,64,6,468,3.3,5.4,6,2.0,86,High
39,Female,Professional,12.4,0.7,1.1,3.3,6.3,228,13,73,0.8,5.2,9,2.9,71,High
42,Male,Unemployed,11.8,2.5,2.5,2.3,3.4,247,58,80,3.4,7.6,7,0.9,84,High
19,Other,Unemployed,11.4,1.7,0.2,4.2,3.3,204,49,211,2.5,8.9,10,2.1,86,High
50,Other,Professional,14.9,5.0,1.5,1.4,6.0,101,9,438,2.6,7.6,10,0.1,80,High
37,Other,Student,14.2,5.2,1.0,1.3,5.2,180,30,447,1.7,6.5,2,0.7,80,High
45,Male,Self-employed,14.2,1.6,1.5,3.8,6.2,208,56,405,0.1,5.5,4,1.9,74,High
14,Male,Professional,16.7,4.4,0.2,3.4,7.1,37,45,130,2.2,4.7,2,2.9,82,High
61,Female,Unemployed,12.2,4.5,2.9,1.9,2.1,26,19,453,2.9,6.9,2,1.2,84,Moderate
23,Female,Student,9.6,1.5,0.5,3.4,2.5,48,29,188,0.0,4.4,10,2.0,75,Low
12,Female,Student,13.1,2.9,0.1,4.0,4.2,216,30,117,0.1,8.6,3,0.2,71,High
55,Female,Student,18.3,3.9,3.8,1.5,7.4,163,32,417,3.6,4.3,7,0.0,82,High
16,Female,Self-employed,12.2,0.6,0.8,3.1,6.7,242,27,400,2.7,4.7,8,0.5,76,High
41,Male,Self-employed,15.3,2.7,3.3,4.2,3.7,216,25,494,3.2,7.8,8,1.7,83,High
41,Male,Professional,13.7,1.4,3.9,2.4,4.6,93,26,270,0.1,8.4,4,2.4,82,Moderate
28,Other,Professional,15.2,3.5,2.1,3.1,5.7,176,23,254,1.6,4.9,7,1.1,76,High
59,Other,Professional,13.2,5.1,2.1,0.9,4.2,176,54,542,3.0,4.3,7,2.1,80,High
